ID,Category,Logo URL,Priority,Merchant ID,Category Type,Created At,Updated At,Is Ride Required,Max Allowed Ride Age,Is Active,Merchant Operating City ID,Label
xu5jlqrn-ogn5-l8vx-d6f2-fi1fr1q3u8zh,app related,"ny_ic_app_related_issue,https://assets.moving.tech/beckn/common/common/images/ny_ic_app_related_issue.png",1,4b17bd06-ae7e-48e9-85bf-282fb310209c,Category,2024-07-09T14:01:05.855473Z,2024-07-09T14:01:05.858094Z,false,259200,true,b30daaf7-77d2-17c8-00d9-baf7ad0f5719,APP_RELATED
nkm5pqj4-56hq-prdt-3s2y-9yuc1zgdy79w,lost and found,"ny_ic_lost_and_found,https://assets.moving.tech/beckn/common/common/images/ny_ic_lost_and_found.png",7,4b17bd06-ae7e-48e9-85bf-282fb310209c,Category,2024-07-09T14:01:05.855473Z,2024-07-09T14:01:05.858094Z,true,86400,true,b30daaf7-77d2-17c8-00d9-baf7ad0f5719,
ff8355b1-8b49-409b-8f7b-48a2150bb1fa,Account Related,logoUrl,5,4b17bd06-ae7e-48e9-85bf-282fb310209c,FAQ,2024-07-10T11:48:59.015738Z,2024-07-10T11:48:59.015738Z,false,86400,true,b30daaf7-77d2-17c8-00d9-baf7ad0f5719,
s5fkl23p-gr2l-z5qy-gjn5-gjpjvk6lp4u2,other,"ny_ic_other_issues,https://assets.moving.tech/beckn/common/common/images/ny_ic_other_issues.png",9,4b17bd06-ae7e-48e9-85bf-282fb310209c,Category,2024-07-09T14:01:05.855473Z,2024-07-09T14:01:05.858094Z,false,259200,true,b30daaf7-77d2-17c8-00d9-baf7ad0f5719,
f01lail9-0hrg-elpj-skkm-2omgyhk3c2h0,safety,"ny_ic_sos_related,https://assets.moving.tech/beckn/common/common/images/ny_ic_sos_related.png",6,4b17bd06-ae7e-48e9-85bf-282fb310209c,Category,2024-07-09T14:01:05.855473Z,2024-07-09T14:01:05.858094Z,true,259200,true,b30daaf7-77d2-17c8-00d9-baf7ad0f5719,
jdir4kkp-49fb-4x75-mqgf-3ig3mm2d7ecy,fare discrepancy,"ny_ic_fare_related_issue.png,https://assets.moving.tech/beckn/common/common/images/ny_ic_fare_related_issue.png",8,4b17bd06-ae7e-48e9-85bf-282fb310209c,Category,2024-07-09T14:01:05.855473Z,2024-07-09T14:01:05.858094Z,true,259200,true,b30daaf7-77d2-17c8-00d9-baf7ad0f5719,
abcdefgh-1234-5678-90ab-1234567890ab,payment related,"ny_ic_payment_related,https://assets.moving.tech/beckn/common/common/images/ny_ic_payment_related.png",4,4b17bd06-ae7e-48e9-85bf-282fb310209c,Category,2024-07-09T14:01:05.855473Z,2024-07-09T14:01:05.858094Z,true,259200,true,b30daaf7-77d2-17c8-00d9-baf7ad0f5719,
1w4xjumg-2bvq-x6ez-voqj-ufc2m8ip2sxa,account related,"ny_ic_account_related,https://assets.moving.tech/beckn/common/common/images/ny_ic_account_related.png",3,4b17bd06-ae7e-48e9-85bf-282fb310209c,Category,2024-07-09T14:01:05.855473Z,2024-07-09T14:01:05.858094Z,false,259200,true,b30daaf7-77d2-17c8-00d9-baf7ad0f5719,
ziig3kxh-v0xc-kh0t-q6p1-f1v2n8ucs0kj,ride related,"ny_ic_ride_related_issue,https://assets.moving.tech/beckn/common/common/images/ny_ic_ride_related_issue.png",2,4b17bd06-ae7e-48e9-85bf-282fb310209c,Category,2024-07-09T14:01:05.855473Z,2024-07-09T14:01:05.858094Z,true,259200,true,b30daaf7-77d2-17c8-00d9-baf7ad0f5719,
